
Insertion Sort,7,2804,2201
Selection Sort,7,8128,8221
Shell Sort,7,922,2788
Insertion Sort,8,11426,6273
Selection Sort,8,32640,37904
Shell Sort,8,2097,8949
Insertion Sort,9,43463,24154
Selection Sort,9,130816,134882
Shell Sort,9,4923,17798
Insertion Sort,10,172909,74777
Selection Sort,10,523776,434231
Shell Sort,10,11204,30641
Insertion Sort,11,695247,268517
Selection Sort,11,2096128,1786848
Shell Sort,11,24424,61781
Insertion Sort,12,2762550,1101151
Selection Sort,12,8386560,6746511
Shell Sort,12,54254,124939
Insertion Sort,13,11304806,4358929
Selection Sort,13,33550336,26212774
Shell Sort,13,119203,282350
Insertion Sort,14,44783089,17235823
Selection Sort,14,134209536,102672520
Shell Sort,14,262124,623610
Insertion Sort,15,178639993,75968445
Selection Sort,15,536854528,447967399
Shell Sort,15,555823,1312034
Insertion Sort,16,715386178,282298378
Selection Sort,16,2147450880,1620194487
Shell Sort,16,1186302,2636552
Insertion Sort,17,-1432023386,1172863210
Selection Sort,17,-65536,6470875599
Shell Sort,17,2551999,5433601
