
Insertion Sort,7,8075,4657
Selection Sort,7,8128,17183
Shell Sort,7,1064,2544
Insertion Sort,8,32500,13361
Selection Sort,8,32640,44766
Shell Sort,8,2496,4760
Insertion Sort,9,130544,62280
Selection Sort,9,130816,190182
Shell Sort,9,5751,13086
Insertion Sort,10,523289,221127
Selection Sort,10,523776,558966
Shell Sort,10,13081,22665
Insertion Sort,11,2095075,782438
Selection Sort,11,2096128,2617482
Shell Sort,11,29188,49658
Insertion Sort,12,8384495,3128056
Selection Sort,12,8386560,13724838
Shell Sort,12,64550,99549
Insertion Sort,13,33546178,11956152
Selection Sort,13,33550336,66000415
Shell Sort,13,141383,209025
Insertion Sort,14,134201258,48456222
Selection Sort,14,134209536,290702223
Shell Sort,14,307425,424597
Insertion Sort,15,536838385,197226410
Selection Sort,15,536854528,1203406132
Shell Sort,15,664031,1030582
Insertion Sort,16,2147418108,848729804
Selection Sort,16,2147450880,5265956173
Shell Sort,16,1426241,2439157
Insertion Sort,17,-130968,4087042341
Selection Sort,17,-65536,21087293987
Shell Sort,17,3049241,4423554
