
Insertion Sort,7,127,311
Selection Sort,7,8128,7535
Shell Sort,7,769,1118
Insertion Sort,8,255,539
Selection Sort,8,32640,42302
Shell Sort,8,1793,2626
Insertion Sort,9,511,971
Selection Sort,9,130816,106354
Shell Sort,9,4097,5829
Insertion Sort,10,1023,1809
Selection Sort,10,523776,419246
Shell Sort,10,9217,12801
Insertion Sort,11,2047,3534
Selection Sort,11,2096128,1636673
Shell Sort,11,20481,28380
Insertion Sort,12,4095,6829
Selection Sort,12,8386560,6655179
Shell Sort,12,45057,60408
Insertion Sort,13,8191,13730
Selection Sort,13,33550336,28855154
Shell Sort,13,98305,130870
Insertion Sort,14,16383,27005
Selection Sort,14,134209536,106057903
Shell Sort,14,212993,275749
Insertion Sort,15,32767,115677
Selection Sort,15,536854528,413387828
Shell Sort,15,458753,576172
Insertion Sort,16,65535,103487
Selection Sort,16,2147450880,1583079717
Shell Sort,16,983041,1233237
Insertion Sort,17,131071,201056
Selection Sort,17,-65536,6020875982
Shell Sort,17,2097153,2672045
